2025-05-28 00:46:26 - Episode 1, Reward: -453.00, Variance: 0.0000, Epsilon Home: 0.1996, Epsilon Away: 0.3500, Score: 31-11
2025-05-28 00:46:32 - Episode 2, Reward: -466.00, Variance: 42.2500, Epsilon Home: 0.1992, Epsilon Away: 0.3500, Score: 18-14
2025-05-28 00:46:38 - Episode 3, Reward: -599.00, Variance: 4352.6667, Epsilon Home: 0.1988, Epsilon Away: 0.3500, Score: 53-24
2025-05-28 00:46:44 - Episode 4, Reward: -626.00, Variance: 5964.5000, Epsilon Home: 0.1984, Epsilon Away: 0.3500, Score: 34-30
2025-05-28 00:46:50 - Episode 5, Reward: -656.00, Variance: 7075.6000, Epsilon Home: 0.1980, Epsilon Away: 0.3500, Score: 98-8
2025-05-28 00:46:57 - Episode 6, Reward: -648.00, Variance: 6971.8889, Epsilon Home: 0.1976, Epsilon Away: 0.3500, Score: 55-8
2025-05-28 00:47:03 - Episode 7, Reward: -622.00, Variance: 6250.2449, Epsilon Home: 0.1972, Epsilon Away: 0.3500, Score: 67-10
2025-05-28 00:47:09 - Episode 8, Reward: -549.00, Variance: 5583.9844, Epsilon Home: 0.1968, Epsilon Away: 0.3500, Score: 72-11
2025-05-28 00:47:15 - Episode 9, Reward: -650.00, Variance: 5484.4691, Epsilon Home: 0.1964, Epsilon Away: 0.3500, Score: 66-2
2025-05-28 00:47:21 - Episode 10, Reward: -606.00, Variance: 4974.0500, Epsilon Home: 0.1960, Epsilon Away: 0.3500, Score: 89-7
2025-05-28 00:47:27 - Episode 11, Reward: -620.00, Variance: 4609.1570, Epsilon Home: 0.1956, Epsilon Away: 0.3500, Score: 68-15
2025-05-28 00:47:33 - Episode 12, Reward: -582.00, Variance: 4230.5208, Epsilon Home: 0.1953, Epsilon Away: 0.3500, Score: 123-0
2025-05-28 00:47:39 - Episode 13, Reward: -633.00, Variance: 4037.9172, Epsilon Home: 0.1949, Epsilon Away: 0.3500, Score: 59-11
2025-05-28 00:47:45 - Episode 14, Reward: -631.00, Variance: 3844.8827, Epsilon Home: 0.1945, Epsilon Away: 0.3500, Score: 74-11
