ACTION_TYPE,EVENTTIME,EVENT_TYPE,GAME_DATE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,HTM,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,QUARTER,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TIME,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME,VTM
Jump Shot,384,Missed Shot,20160101,53,21500491,Shot Chart Detail,MIA,-242.8706,144.7879,6,1,202083,Wesley Matthews,1.0,24,1,23,0,357.92,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Floating Jump shot,151,Missed Shot,20160101,82,21500491,Shot Chart Detail,MIA,106.7195,67.7383,2,1,202083,Wesley Matthews,1.0,31,1,11,0,153.73,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,170,Made Shot,20160101,195,21500491,Shot Chart Detail,MIA,201.9198,114.0972,2,2,202083,Wesley Matthews,2.0,50,1,25,1,173.57,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,47,Made Shot,20160101,209,21500491,Shot Chart Detail,MIA,-205.5851,134.568,0,2,202083,Wesley Matthews,2.0,47,1,25,1,49.11,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,318,Made Shot,20160101,290,21500491,Shot Chart Detail,MIA,108.1728,240.2891,5,3,202083,Wesley Matthews,3.0,18,1,25,1,321.57,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Running Layup Shot,236,Missed Shot,20160101,300,21500491,Shot Chart Detail,MIA,-109.8405,226.9734,3,3,202083,Wesley Matthews,3.0,56,1,1,0,245.55,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,675,Missed Shot,20160101,353,21500491,Shot Chart Detail,MIA,22.1559,240.256,11,4,202083,Wesley Matthews,4.0,15,1,23,0,666.64,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,633,Made Shot,20160101,358,21500491,Shot Chart Detail,MIA,218.3899,17.5915,10,4,202083,Wesley Matthews,4.0,33,1,23,1,636.31,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,485,Missed Shot,20160101,385,21500491,Shot Chart Detail,MIA,138.1154,205.9225,8,4,202083,Wesley Matthews,4.0,5,1,25,0,487.51,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Alley Oop Dunk Shot,441,Made Shot,20160101,149,21500491,Shot Chart Detail,MIA,78.9965,150.4745,7,2,201580,JaVale McGee,2.0,21,1,0,1,444.02,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612742,Dallas Mavericks,DAL
Alley Oop Dunk Shot,237,Made Shot,20160101,180,21500491,Shot Chart Detail,MIA,-231.9217,77.3578,3,2,201580,JaVale McGee,2.0,57,1,0,1,251.33,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612742,Dallas Mavericks,DAL
Hook Shot,175,Missed Shot,20160101,316,21500491,Shot Chart Detail,MIA,-25.0498,31.0517,2,3,201580,JaVale McGee,3.0,55,1,11,0,171.67,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,152,Made Shot,20160101,320,21500491,Shot Chart Detail,MIA,136.7492,-0.1352,2,3,201580,JaVale McGee,3.0,32,1,16,1,156.66,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612742,Dallas Mavericks,DAL
Hook Shot,48,Missed Shot,20160101,335,21500491,Shot Chart Detail,MIA,74.4324,80.5081,0,3,201580,JaVale McGee,3.0,48,1,6,0,39.37,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,585,Missed Shot,20160101,14,21500491,Shot Chart Detail,MIA,-24.4211,30.2055,9,1,202355,Hassan Whiteside,1.0,45,1,3,0,569.98,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat,DAL
Hook Shot,453,Missed Shot,20160101,35,21500491,Shot Chart Detail,MIA,-126.0188,29.4193,7,1,202355,Hassan Whiteside,1.0,33,1,6,0,436.3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat,DAL
Hook Shot,448,Made Shot,20160101,37,21500491,Shot Chart Detail,MIA,-126.0188,29.4193,7,1,202355,Hassan Whiteside,1.0,28,1,6,1,436.3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat,DAL
Jump Shot,256,Made Shot,20160101,64,21500491,Shot Chart Detail,MIA,-151.6296,186.6903,4,1,202355,Hassan Whiteside,1.0,16,1,14,1,241.48,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612748,Miami Heat,DAL
Jump Shot,228,Made Shot,20160101,67,21500491,Shot Chart Detail,MIA,-151.6296,186.6903,3,1,202355,Hassan Whiteside,1.0,48,1,18,1,241.48,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612748,Miami Heat,DAL
Hook Shot,193,Missed Shot,20160101,76,21500491,Shot Chart Detail,MIA,-14.4141,155.9334,3,1,202355,Hassan Whiteside,1.0,13,1,4,0,211.31,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat,DAL
Hook Shot,271,Made Shot,20160101,176,21500491,Shot Chart Detail,MIA,0.4043,5.5925,4,2,202355,Hassan Whiteside,2.0,31,1,8,1,274.01,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612748,Miami Heat,DAL
Tip Layup Shot,214,Made Shot,20160101,183,21500491,Shot Chart Detail,MIA,147.0931,144.3404,3,2,202355,Hassan Whiteside,2.0,34,1,0,1,210.68,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat,DAL
Fadeaway Jump Shot,144,Made Shot,20160101,201,21500491,Shot Chart Detail,MIA,-132.2676,91.3023,2,2,202355,Hassan Whiteside,2.0,24,1,17,1,126.74,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612748,Miami Heat,DAL
Alley Oop Layup shot,93,Made Shot,20160101,205,21500491,Shot Chart Detail,MIA,-46.6344,-31.2551,1,2,202355,Hassan Whiteside,2.0,33,1,1,1,83.09,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat,DAL
Layup Shot,31,Made Shot,20160101,212,21500491,Shot Chart Detail,MIA,34.443,124.873,0,2,202355,Hassan Whiteside,2.0,31,1,1,1,36.69,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat,DAL
Dunk Shot,5,Made Shot,20160101,225,21500491,Shot Chart Detail,MIA,29.8267,59.7663,0,2,202355,Hassan Whiteside,2.0,5,1,0,1,5.77,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat,DAL
Alley Oop Dunk Shot,575,Missed Shot,20160101,255,21500491,Shot Chart Detail,MIA,-31.4563,56.0577,9,3,202355,Hassan Whiteside,3.0,35,1,0,0,577.72,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat,DAL
Layup Shot,465,Made Shot,20160101,274,21500491,Shot Chart Detail,MIA,8.3015,43.1566,7,3,202355,Hassan Whiteside,3.0,45,1,1,1,448.83,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat,DAL
Hook Shot,340,Made Shot,20160101,282,21500491,Shot Chart Detail,MIA,98.9119,162.9849,5,3,202355,Hassan Whiteside,3.0,40,1,4,1,356.51,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat,DAL
Fadeaway Jump Shot,185,Made Shot,20160101,447,21500491,Shot Chart Detail,MIA,-110.1772,8.1262,3,4,202355,Hassan Whiteside,4.0,5,1,11,1,188.12,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612748,Miami Heat,DAL
Jump Shot,607,Missed Shot,20160101,11,21500491,Shot Chart Detail,MIA,-126.7654,207.7669,10,1,1717,Dirk Nowitzki,1.0,7,1,25,0,609.83,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,547,Missed Shot,20160101,21,21500491,Shot Chart Detail,MIA,117.2049,-6.8476,9,1,1717,Dirk Nowitzki,1.0,7,1,15,0,549.01,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,434,Missed Shot,20160101,38,21500491,Shot Chart Detail,MIA,101.7517,214.8868,7,1,1717,Dirk Nowitzki,1.0,14,1,14,0,419.14,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,113,Missed Shot,20160101,93,21500491,Shot Chart Detail,MIA,153.4937,7.9205,1,1,1717,Dirk Nowitzki,1.0,53,1,19,0,115.89,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,56,Made Shot,20160101,99,21500491,Shot Chart Detail,MIA,-54.9521,261.417,0,1,1717,Dirk Nowitzki,1.0,56,1,17,1,71.78,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612742,Dallas Mavericks,DAL
